ADTN,ADTRAN Inc,20180117,BRIEF-ADTRAN Q4 LOSS PER SHARE $0.23 ,* ADTRAN  INC. REPORTS EARNINGS FOR THE FOURTH QUARTER 2017 AND DECLARES QUARTERLY CASH DIVIDEND,topStory
AEZS,AEterna Zentaris Inc,20180117,BRIEF-Aeterna Zentaris Enters Licensing Agreement With Strongbridge For Macrilen In U.S.  Canada ,* AETERNA ZENTARIS ENTERS INTO LICENSING AND ASSIGNMENT AGREEMENT WITH STRONGBRIDGE FOR MACRILEN™ (MACIMORELIN) IN THE U.S. AND CANADA,topStory
AGIO,Agios Pharmaceuticals Inc,20180117,BRIEF-Agios Announces Proposed Offering Of Common Stock ,* SAYS IT IS OFFERING TO SELL UP TO $400 MILLION OF ITS COMMON STOCK IN A PUBLIC OFFERING,topStory
AMMA,Alliance MMA Inc,20180117,BRIEF-Alliance MMA Signs Event Rights Fee Deal With Flosports ,* ALLIANCE MMA INC - ALLIANCE MMA SIGNS EVENT RIGHTS FEE DEAL WITH FLOSPORTS,topStory
AMRN,Amarin Corporation plc,20180117,BRIEF-Amarin Announces Commencement Of Vascepa Clinical Development In Mainland China ,* AMARIN ANNOUNCES COMMENCEMENT OF VASCEPA CLINICAL DEVELOPMENT IN MAINLAND CHINA Source text for Eikon: Further company coverage:,topStory
AMZN,Amazoncom Inc,20180117,BRIEF-Amazon Music Unlimited Coming To Australia  New Zealand On Feb. 1 ,* AMAZON MUSIC UNLIMITED COMING TO AUSTRALIA AND NEW ZEALAND ON FEBRUARY 1 Source text for Eikon: Further company coverage:,topStory
AMGN,Amgen Inc,20180117,BRIEF-FDA Approves Addition Of Overall Survival Data To Kyprolis Label ,* FDA APPROVES ADDITION OF OVERALL SURVIVAL DATA TO KYPROLIS® (CARFILZOMIB) LABEL,topStory
FOLD,Amicus Therapeutics Inc,20180117,BRIEF-Amicus Launches Galafold For Treatment Of Fabry Disease In Spain ,* AMICUS THERAPEUTICS LAUNCHES GALAFOLD™ (MIGALASTAT) FOR TREATMENT OF FABRY DISEASE IN SPAIN Source text for Eikon: Further company coverage:,topStory
AAPL,Apple Inc,20180117,BRIEF-‍​Apple Told Employees It’s Issuing A Bonus Of $2 500 Worth Of Restricted Stock Units- Bloomberg ,* ‍APPLE TOLD EMPLOYEES WEDNESDAY THAT IT'S ISSUING A BONUS OF $2 500 WORTH OF RESTRICTED STOCK UNITS- BLOOMBERG  CITING SOURCES Source text : https://bloom.bg/2rkMii4 Further company coverage:,topStory
AAPL,Apple Inc,20180117,Breakingviews - Tim Cook goes as American as Apple’s pie ,NEW YORK (Reuters Breakingviews) - Tim Cook is going as American as Apple’s pie. The iPhone maker will pay $38 billion in tax on its huge pile of overseas cash. It’s also aping Amazon with plans to open a second U.S. campus  invest $30 billion over five years and create 20 000 jobs.,normal
AAPL,Apple Inc,20180117,Apple issues $2 500 bonuses to employees after new tax law: Bloomberg ,Apple Inc told its employees on Wednesday that the iPhone maker is issuing a bonus of $2 500 worth of restricted stock units following the new U.S. tax reform  Bloomberg reported  citing people familiar with the matter.,normal
